排名,电影名称,电影英文名称,导演,剧情类型,上映时间,片长,累计票房,主演,评分,奖项,剧情简介
39,幽灵公主,もののけ姫,宫崎骏,动画,1998-05-01,134分钟,暂无,"松田洋治,石田百合子,田中裕子",8.9,"['第21届日本电影学院奖', '第28届安妮奖', '第21届日本电影学院奖', '第28届安妮奖', '第27届土星奖', '第40届日本电影蓝丝带奖', '第71届日本电影旬报奖', '第22届报知映画赏']",故事发生在14世纪到16世纪，京都的 室町幕府统治能力薄弱，武家压倒贵族。在文化方面，则无论是贵族还是武家的文化，都受到禅宗的影响。14世纪末期以 金阁寺为代表的 北山文化，15世纪末期以银阁人于是被迫隐居到本州的东北部。在1300年时， 虾夷人已经融入日本社会当中。阿席达卡（アシタカ音译，另译为“飞鸟”）所在的部落 虾夷族位于日本的东北部。一天一个从西方来的邪神要侵略阿席达卡所在的村庄，这个邪神是由受了诅咒的野猪神变成的。眼看邪神步步进逼，阿席达卡挺身而出，虽然后来他打死了野猪神，但是他也因此中了邪神的诅咒，性命难保。为了化解诅咒之谜和拯救自己，阿席达卡听从本村的巫婆的指示去西方查个明白，寻求生路。路上他打听到森林的守护神—— 山兽神可以化解这个魔咒，他就向森林出发。途中他救了两个掉到山谷的运输铁矿石的人，并初次与 珊（另译为桑）相遇，这两个人是 艾伯西（另译为黑帽大人、幻姬大人）的炼铁场的人，艾伯西的铁工场就在森林的附近，为了开采矿石，艾伯西的人破坏森林，攻击森林中保护自己的世界的动物，所以艾伯西与森林中的动物是有仇的，特别是生活在森林里的白狼神（幻姬在森林中运输铁矿石时，白狼神前来阻止，遭艾伯西火枪攻击坠落悬崖。译为莫挪一族）。阿席达卡把这两个人送回去铁工场，在铁工场里，他揭开了野猪神被诅咒之迷：艾伯西用火枪进攻森林，守护森林的野猪神·名护之神就是中了她的火枪弹后因为仇恨而变成邪魔的。阿席达卡还发现艾伯西为了杀掉山兽神，占领森林发明了一种很厉害的火枪。这天夜里，珊来袭击铁工场，她其实是被人类遗弃的由白狼神养大的人类的女儿。珊在敌众我寡的情况下形势危急，阿席达卡却一心要救她，并为此中了一枪，生命危在旦夕。获救的珊开始对阿席达卡充满敌意，但最终被阿席达卡的真诚与勇敢所感动，阿席达卡伤势过重，珊决定带他到森林让 山兽神救活他。山兽神救活了阿席达卡，此时深受人类滋扰的野猪群决意与人类拼死一争拯救自己的家园森林，热爱森林的珊想保护森林的守护者（野猪群），离开了阿席达卡，投入了野猪群与艾伯西跟武士的合军的战斗中。艾伯西他们对此役早有准备，他们的最终目标并不是消灭野猪群，而是以它们为饵，找到麒山兽神消灭麒山兽神。另一方面，在艾伯西带领她的男兵去消灭麒山兽神，她的铁工场受到了天朝武士的攻击，守城的只有女人，在铁工场被攻击得岌岌可危时，阿席达卡来了。原来他在离开了珊以后也受到了朝廷的散兵的攻击。他在铁工场的城外得知艾伯西攻击森林去了，为了拯救山兽神，同时也为了通知艾伯西回来救她的工场，他再次朝森林出发。艾伯西与野猪群的一役，野猪群几乎全军覆灭，只剩野猪神乙事主、珊和白狼神。他们正在边撤边朝山兽神的小岛进发。艾伯西和武士军队为了找到山兽神，他们披上了野猪皮，涂上了野猪血，以掩饰他们人的身份，跟踪撤退的野猪神和珊，快到山兽神的小岛时，军队围住了野猪神和珊，并攻击他们。愤怒的野猪神眼看就要变成邪魔了，而在它身上为救它的珊也将受到牵连，刚赶到的阿席达卡要救珊，却力不从心。眼看形势不可挽回了，这时山兽神超度了野猪神的生命从而制止了野猪神变成邪神，同时阿席达卡在白狼神的帮助下解救了珊。艾伯西却趁机把山兽神射了下来，白狼神见状，奋死一拼咬掉艾伯西的一只胳膊，随后死亡。愤怒的山兽神吸收生命以找回自己的头。阿席达卡和珊为了救森林，终于帮山兽神了它的头。头失而复得的山兽神阳出来时轰然倒地而亡，以自己的死在一瞬间把新的生机重新赋予了大地。拯救了森林后，珊对人类破坏森林的罪行仍无法释怀，她选择回到了林中，阿席达卡尊重珊的选择（此处两人的对话折射出人类和自然的矛盾，仍不能解决），选择以后住在达达拉（铁工厂），会骑着羚角马来看珊，两人在一片盎然的绿色山野中微笑别过  。
40,V字仇杀队,V for Vendetta,詹姆斯·麦克特格,剧情,2005-12-11,132分钟,7051万美元,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",8.8,"['第33届土星奖', '第8届青少年选择奖', '第33届土星奖', '第8届青少年选择奖']",在未来英国的极权统治下，一位名叫伊维（娜塔莉·波特曼 饰）的年轻女子死里逃生，被一名叫V（雨果·维文 饰）的带面具怪人救出，V具有不可思议的战斗能力，其诡计变化多端，手段极其残忍。当他摧毁了伦敦两个标志性建筑并控制了被政府摆布的电视广播以后，一场革命爆发了。市民被煽动，并企图以起义来对抗政府的专治与镇压。不料，伊维意外的得知了V的神秘背景，同时也发现了关于自己的一个巨大真相，给人们带来的正义与自由却把整个社会推向残酷与堕落的深渊。
41,当幸福来敲门,The Pursuit of Happyness,加布里埃莱·穆奇诺,剧情,2008-01-17,117分钟,750万,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",8.9,"['第79届奥斯卡金像奖', '第64届金球奖', '第79届奥斯卡金像奖', '第64届金球奖', '第16届MTV电影奖', '第9届青少年选择奖', '第13届美国演员工会奖']",1981年的旧金山，克里斯·加德纳（ 威尔·史密斯饰）是个聪明的医疗器械推销员，但在次经济萧条时期，他的日子很不好过。每天奔波于各家医院和诊所，但医生们对他的骨密度扫描仪根本不感兴 趣，因为这台仪器要比X光扫描仪贵出两倍。他的妻子琳达( 桑迪·牛顿饰)无法继续忍受这样艰难的生活，撇下他和5岁的儿子克里斯托弗( 贾登·史密斯饰)出走。而加德纳父子二人的背运还没有结束，他们因为缴不起房租而被房东扫地出门，有时甚至要在地铁的卫生间里过夜。克里斯决心转行为有机会获得高收入的证券经纪人，他的努力和智慧打动了证券公司的经理杰·特维斯图(布莱恩·霍维饰)，他通过了初试。而在复试中，尽管出师不利，克里斯不得不穿着粉刷工的衣服来到面试现场，但只读过高中的他决心极大，最终，公司的几位合伙人还是觉得给他一个机会为好，于是，他成为20个实习生之一。此后的半年实习期加德纳父子的生活将更加艰难，因为实习期没有工资，而20个实习生中只有一个能留下来。他们暂时还得依靠那几台骨密度扫描仪过活。
42,放牛班的春天,Les choristes,克里斯托夫·巴拉蒂,剧情,2004-10-16,97分钟,暂无,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",8.8,"['第77届奥斯卡金像奖', '第62届金球奖', '第77届奥斯卡金像奖', '第62届金球奖', '第17届欧洲电影奖', '第58届英国电影和电视艺术学院奖', '第30届法国电影凯撒奖', '第20届西班牙戈雅奖', '第50届意大利大卫奖', '第37届卡罗维发利国际电影节']",1949年的法国乡村，音乐家克莱门特（杰勒德·尊诺 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗西斯·贝尔兰德 饰）只顾自己的前途，残暴高压。性格沉静的克莱门特尝试用自己的方法改善这种状况，他重新创作音乐作品，组织合唱团，决定用音乐的方法来打开学生们封闭的心灵。 然而，事情并不顺利，克莱门特发现学生皮埃尔·莫安琦（尚·巴堤·莫里耶 饰）拥有非同一般的音乐天赋，但是单亲家庭长大的他，性格异常敏感孤僻，怎样释放皮埃尔的音乐才能，让克莱门特头痛不已；同时，他与皮埃尔母亲的感情也渐渐微妙起来。
43,末代皇帝,The Last Emperor,贝纳尔多·贝托鲁奇,剧情,1987-10-23,163分钟,4398万美元,"尊龙,陈冲,彼得·奥图尔",8.8,"['第60届奥斯卡金像奖', '第45届金球奖', '第60届奥斯卡金像奖', '第45届金球奖', '第7届中国电影金鸡奖', '第1届欧洲电影奖', '第42届英国电影和电视艺术学院奖', '第12届日本电影学院奖', '第13届法国电影凯撒奖', '第33届意大利大卫奖', '第62届日本电影旬报奖', '第27届美国剪辑工会奖', '第52届纽约影评人协会奖', '第40届美国导演工会奖', '第13届报知映画赏']",1950年的冬天，清王朝废帝溥仪 （尊龙饰），作为战犯从苏联被押回中国。火车抵达中苏边境的满洲里火车站后，溥仪认为此去性命难保，便溜进卫生间企图割腕自杀。中国战犯管理所所长 （英若诚饰）发现情况有异，急敲卫生间的门，敲门声使溥仪陷入了回忆。1908年的一个冬夜，清宫卫队长敲开了醇亲王府的大门，按慈禧太后 （卢燕饰）旨意把3岁的溥仪接进宫中教养，准备接位。 在香烟缭绕的坤宁宫内，即将咽气的慈禧接见了溥仪，告诉他要即日登基。在太和殿上隆重举行登基大典时，溥仪在大臣陈宝琛身上发现了一个装着蝈蝈的小笼子。他对蝈蝈的兴趣显然要超过几千名跪在他脚下的文武大臣。登基之后，溥仪成了世界上最缺少管教、也是最孤独的孩子。溥仪从回忆中惊醒过来。他也被管理所长救起，从此开始了接受审判、接受改造的囚徒生活  。
44,大话西游之月光宝盒,A Chinese Odyssey,刘镇伟,喜剧,2014-10-24,87分钟,1026万,"周星驰,莫文蔚,吴孟达",9.6,"['第15届香港金像奖', '第15届香港金像奖']",话说孙悟空 （周星驰饰）护送唐三藏 （罗家英饰）去西天取经，半路却和牛魔王合谋要杀害唐三藏，并偷走了月光宝盒。观音大士闻讯赶到，欲除掉孙悟空免得危害苍生。唐三藏慈悲为怀，愿以命相换，观音遂令悟空五百年后投胎作人，赎其罪孽。五百年后的一天，五岳山下大漠风沙漫漫，斧头帮来了一个奇怪的女客春三十娘 （蓝洁瑛饰）。众人在二当家 （吴孟达饰）带领下欲行抢劫，反被她制住。匪头至尊宝 （周星驰饰）率众复仇失败，春三十娘勒令群匪找一个脚底有三颗痣的人。晚上至尊宝等欲用迷香加害春三十娘，却令其现出蜘蛛精的真身。至尊宝孤身潜入春的房中，发现多了一个白晶晶 （莫文蔚饰），至尊宝对她一见钟情。二当家夜探二女，查出原来春三十娘是蜘蛛精，白晶晶是白骨精，她们从菩提老祖那里得知唐三藏将会出现在五岳山，为了吃唐僧肉而来。二当家不幸被抓住，春三十娘用移魂大法将其奴化。菩提老祖为了挽回自己的口失来到五岳山，他说明至尊宝是孙悟空转世，至尊宝不相信。白骨精五百年前和孙悟空有一段纠缠不清的恋情，为了救至尊宝打伤了春三十娘，却中 毒受伤。此时牛魔王杀到，二女不敌，挟持至尊宝和二当家回到盘丝洞。春三十娘逼迫白晶晶杀掉至尊宝，反被二人关在机关里。春欲用迷情大法对付宝，又错用在二当家身上。白晶晶和至尊宝逃出后，白的毒发作开始尸变，至尊宝为了白返回盘丝洞，他以知道唐僧下落为由要挟春和他一起去救白晶晶。白早上醒来不见宝，误以为宝不顾她离去，悲愤跳崖，幸为牛魔王所救。至尊宝在盘丝洞找到盘丝大仙留下的月光宝盒，此时牛魔王带白晶晶来到盘丝洞。白以为春和二当家生下的孩子是她和至尊宝所生，愤而自刎。至尊宝为了救白，使用月光宝盒使时光倒流，几次后产生故障，竟将其带回五百年前，这时紫霞仙子 （朱茵饰）向她走  。
45,风之谷,風の谷のナウシカ,宫崎骏,动画,1992-05,117分钟,暂无,"岛本须美,永井一郎,坂本千夏",8.8,[],工业文明的高度发展，却最终带来灾难，一场为期7天的虫族毁灭战争摧毁了人类文明。一千年后，工业文明遗留下来的症结仍在困扰这个星球。带有强烈毒性的植物组成了令人望而却步的“腐海”森林，随着时间的推移，腐海有条不紊地向四周蔓延，蚕食周边世界。在一片腐海森林的旁边，居住着一群御风而行的人类。女主角娜乌茜卡和族人依靠海风的力量抵御着有毒孢子的侵蚀，过着平静祥和的生活。直到某一天，战火烧到了这里。西方强国特洛梅意欲重新建立人类霸权，他们计划统一周边诸国，然后向虫族发起总攻。另一方面，一千年前曾主导摧毁人类的上古怪兽“猛怪”重现人间。毁灭战争一触即发，人类的命运将会如何……
46,闻香识女人,Scent of a Woman,马丁·布莱斯特,剧情,1992-12-23,157分钟,6310万美元,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",8.8,"['第65届奥斯卡金像奖', '第50届金球奖', '第65届奥斯卡金像奖', '第50届金球奖', '第47届英国电影和电视艺术学院奖', '第32届美国剪辑工会奖', '第57届纽约影评人协会奖']",查理（克里斯·奥唐纳 饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔·帕西诺 饰）是一个退伍军官，因为意外失明，人生从顶点的辉煌滑落谷底。自从两人的人生有了交集，命运的转折慢慢清晰。史法兰打算结束失去了意义的生活，于是在查理的陪伴下，尽情享受着人生最后一趟出行。他吃最美味的佳肴，买光鲜的汽车，在狭窄的街道上飚车，住在豪华的套房里，跟随陌生女子的袅袅香水味，跳一段优雅性感的探戈……极乐的疯狂后，他拿枪对准了自己的头颅。然而，查理声嘶力竭的劝阻改变了一切，曙光亦渐渐在这个老人心中重新升起，二人情深如父子。史法兰在学校礼堂激昂演说，挽救了查理的前途，讽刺了学校的伪善。二人在互相鼓舞中得到重生。
47,三傻大闹宝莱坞,3 Idiots,拉吉库马尔·希拉尼,剧情,2011-12-08,171分钟,1398万,"阿米尔·汗,黄渤,卡琳娜·卡普",9.1,"['第37届日本电影学院奖', '第1届北京国际电影节', '第37届日本电影学院奖', '第1届北京国际电影节']",本片根据印度畅销书作家奇坦·巴哈特（Chetan Bhagat）的处女作小说《五点人》（Five Point Someone）改编而成。法兰（马德哈万 R Madhavan 饰）、拉杜（沙曼·乔希 Sharman Joshi 饰）与兰乔（阿米尔·汗 Aamir Khan 饰）是皇家工程学院的学生，三人共居一室，结为好友。在以严格著称的学院里，兰乔是个非常与众不同的学生，他不死记硬背，甚至还公然顶撞校长“病毒”（波曼·伊拉尼 Boman Irani 饰），质疑他的教学方法。他不仅鼓动法兰与拉杜去勇敢追寻理想，还劝说校长的二女儿碧雅（卡琳娜·卡普 Kareena Kapoor 饰）离开满眼铜臭的未婚夫。兰乔的特立独行引起了模范学生“消音器”（奥米·维嘉 Omi Vaidya 饰）的不满，他约定十年后再与兰乔一决高下，看哪种生活方式更能取得成功。 本片获孟买电影博览奖最佳影片、最佳导演、最佳配角（波曼·伊拉尼）、最佳剧本等六项大奖，并获国际印度电影协会最佳影片、最佳导演、最佳剧情、最佳摄影等十六项大奖。
48,勇敢的心,Braveheart,梅尔·吉布森,剧情,1995-05-18,177分钟,暂无,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",8.8,"['第68届奥斯卡金像奖', '第53届金球奖', '第68届奥斯卡金像奖', '第53届金球奖', '第49届英国电影和电视艺术学院奖', '第5届MTV电影奖', '第22届土星奖', '第35届美国剪辑工会奖', '第48届美国导演工会奖']",在 威廉·华莱士还是孩子的时候，他的父亲，苏格兰的英雄马索·华莱士在与英军的斗争中牺牲了。幼小的他在父亲的好友的指导下学习文化和武术。光阴似箭，英王爱德华为巩固在苏格兰的统治，颁布法令允许英国贵族在苏格兰享有结婚少女的初夜权，以便让贵族效忠皇室。王子妃伊莎贝拉是个决断的才女，她知道这道法令会让英国贵族有意于苏格兰，但更会激起苏格兰人民的反抗。年轻的华莱士学成回到故乡，向美丽的少女梅伦求婚，愿意做一个安分守已的人。然而梅伦却被英军无理抢去，并遭杀害，华莱士终于爆发了。在广大村民高呼“英雄之后”的呼喊声中，他们揭竿而起，杀英兵宣布起义。苏格兰贵族罗伯想成为苏格兰领主， 在其父布斯的教唆下，假意与华莱士联盟。华莱士杀败了前来进攻的英军，苏格兰贵族议会封他为爵士，任命他为苏格兰 护国公。华莱士却发现这些苏格兰贵族考虑的只是自己的利益，丝毫不为人民和国家前途担心。爱德华为了缓和局势，派伊莎贝拉前去和谈。但由于英王根本不考虑人民的自由和平等，只想以收买华莱士为条件，和谈失败了。伊莎贝拉回去后才发觉和谈根本就是幌子，英王汇合了爱尔兰军和法军共同包围华莱士的苏格兰军队，她赶紧送信给华莱士。大军压境之下，贵族们慌作一团，华莱士领兵出战，混战一场，短兵相接中，他意外发现了罗伯竟与英王勾结，不禁倍受打击。伊莎贝拉为华莱士的豪情倾倒，来到驻地向他倾吐了自己的真情，两人陶醉在爱情的幸福之中。英王再次提出和谈。华莱士明知是圈套，但为了和平着想，他依旧答应前去。在爱丁堡布斯设计了阴谋抓住华莱士，并把他送交英王。罗伯对父亲的诡计感到怒不可遏，华莱士终于被判死刑。伊莎贝拉求情不成，在英王临死前，她告诉英王她怀的不是王子的血脉，而这个孩子不久将成为新的英王。华莱士刑前高呼“自由”震憾所有人。几星期后，在受封时，罗伯高呼前为华莱士报仇的口号，英勇地继承华莱士的遗志对抗英军  。
49,速度与激情5,Fast Five,林诣彬,动作,2011-05-12,130分钟,2.52亿,"范·迪塞尔,保罗·沃克,道恩·强森",9.2,"['第38届人民选择奖', '第38届土星奖', '第38届人民选择奖', '第38届土星奖', '第13届青少年选择奖', '第17届评论家选择奖', '第11届凤凰城影评人协会奖']",随着这个充满着紧张刺激的各种飞车和爆炸场景的电影系列发展到第5个故事篇章，由此创造出的不仅仅是更加宏大的背景幕布，同时也是在将大众化的影响力扩充至全世界的各个角落，作为开创了这套冒险传奇的动作搭档，前警探布莱恩·奥康纳 （保罗·沃克饰）和曾坐过牢的多米尼克·特莱托 （范·迪塞尔饰）再一次聚首到了一起，因为他们发现自己置身在的是一个异常陌生的环境当中，一起走进了很有异域风情的里约热内卢的犯罪世界。当我们最后一次看到他们的时候，布莱恩和米娅·特莱托 （乔丹娜·布鲁斯特饰）帮助多米尼克摆脱了警方的扣押，然后一口气穿越了很多国家的边境，就为了躲避执法机构的围追堵截，如今，他们退却到了里约热内卢的一个秘密的角落，必须得想办法完成最后一项任务。他们别无选择，只能通过这样的手段去获取期盼已久的真正的自由，他们需要做的就是集结一个顶级的精英团队，全部都是由他们最为信赖且视作家人的朋友组成的，他们需要共同密谋的是一起价值1亿美元的疯狂的抢劫案——多米尼克和布莱恩知道这是他们最后的机会，可以帮助他们永远地摆脱邪恶且堕落的商人赫南·雷耶斯 （乔奎姆·德·阿尔梅达饰）的控制，不过，他并不是惟一一个紧紧追随在他们身后的敌人。 顽固又强悍的联邦特工卢克·霍布斯 （道恩·强森饰）是永远不会让敌人从自己眼前溜走的，当他接受委派追捕多米尼克与布莱恩的时候，他和他的突击队将会不惜一切代价完成任务。可是，他们来到巴西之后，卢克却陷入到了迷惑当中，因为他发现自己已经没办法明确地分辨出，谁是好人，谁又是坏人，他只能依靠自己的本能来完成这次行动了，而且还得抢在别人的前面才有可能成功  。
50,驯龙高手,How to Train Your Dragon,迪恩·德布洛斯,喜剧,2010-05-14,98分钟,8986万,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",9.0,"['第83届奥斯卡金像奖', '第67届威尼斯电影节', '第83届奥斯卡金像奖', '第67届威尼斯电影节', '第68届金球奖', '第64届英国电影和电视艺术学院奖', '第38届安妮奖', '第37届人民选择奖', '第37届土星奖', '第12届青少年选择奖', '第50届美国剪辑工会奖', '第9届华盛顿影评人协会奖', '第23届芝加哥影评人协会奖', '第10届凤凰城影评人协会奖', '第19届东南影评人协会奖', '第15届圣地亚哥影评人协会奖']",维京岛国的少年小嗝嗝（杰伊·巴鲁切尔  配音）是部落统领伟大的斯托里克（杰拉德·巴特勒 配音）的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒增烦恼。在一次对抗飞龙的战斗中，希卡普偷偷用射龙器击伤了一只最神秘的“夜之怒龙”，并背着族人放生、豢养，甚至驯服了这只龙，还给它起名“无牙”。希卡普的神秘行径引起了一同训练屠龙技巧的女孩阿斯特丽德（亚美莉卡·费雷拉 配音）的怀疑。阿斯特丽德发现了希卡普的秘密，却同时被身骑“无牙”御风而飞的美妙体验所震撼。格雷决定在屠龙成人礼上向远征归来的斯托里克和族人讲明真相，说服大家放弃屠龙，却偏偏弄巧成拙，害得“无牙”被俘，一场更大的灾难就在眼前……
51,黑客帝国3：矩阵革命,The Matrix Revolutions,拉娜·沃卓斯基,动作,2003-11-05,129分钟,4300万,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",8.8,"['第30届土星奖', '第6届青少年选择奖', '第30届土星奖', '第6届青少年选择奖', '第10届中国电影华表奖']",第二集中，尼奥（基努·里维斯 饰）没有能从摧毁内部“母体”，他的身体在真实世界的飞船上陷于昏迷，思想却被困在介于“母体”和真实世界的中间地带，这个地方由“火车人”控制。墨菲斯（劳伦斯·菲什伯恩 饰）和崔妮蒂（凯莉-安·摩丝 饰）等人知道了尼奥的情况，在守护天使的带领下，找到了“火车人”的控制者梅罗纹奇，经过一番激斗，将尼奥救了出来。此时，电子乌贼部队对锡安发起了猛烈的攻击，人类组织所有机甲战士展开顽强的抵抗，形势危在旦夕；尼奥和崔妮蒂驾驶了一艘飞船克服重重困难，到达机器城市，尼奥终于见到了机器世界的统治者“机器大帝”，双发谈判并达成了协议：尼奥除掉不受“母体”控制的史密斯，以换取锡安的和平。在“母体”中，尼奥和史密斯展开了关系人类生死存亡的最后决斗。
52,飞屋环游记,Up,彼特·道格特,剧情,2009-08-04,96分钟,9530万,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,"['第82届奥斯卡金像奖', '第66届威尼斯电影节', '第82届奥斯卡金像奖', '第66届威尼斯电影节', '第67届金球奖', '第37届安妮奖', '第36届土星奖', '第11届青少年选择奖', '第75届纽约影评人协会奖', '第10届美国电影学会奖', '第8届华盛顿影评人协会奖', '第22届芝加哥影评人协会奖', '第9届凤凰城影评人协会奖', '第43届堪萨斯影评人协会奖', '第18届东南影评人协会奖', '第14届圣地亚哥影评人协会奖']",卡尔（爱德华·阿斯纳 配音）是一个以卖气球为生的老头。自从老伴艾丽病逝之后，卡尔就变得沉默寡言起来。回想过去和艾丽在一起的日子，他们曾经多次都梦想着到南美洲的天堂瀑布去探险，可是为生计奔波的两人，却一直没有时间去完成这次旅行。难道就这样抱着遗憾过一辈子吗？这时候，政府计划要在卡尔所住的地方建造一幢摩天大楼，而在这里住了一辈子的卡尔根本不愿意搬家，但政府已经打算将这个难缠的钉子户送到养老院去。卡尔知道政府接下来的打算，他决定，要带着这幢保存了他一生回忆的屋子一起去旅行！在一大堆五颜六色气球的牵引下，整幢房子飞向了空中，卡尔朝着梦想之地进发——不过老卡尔却万万没有想到，这幢飞屋里闯入了一个不速之客，他就是9岁的胖乎乎小男孩罗素（乔丹·长井 配音）。这个小男孩骗老卡尔说是不小心才闯进来的，其实他是因为参加了野外探险者协会，而如果要成为高级会员，必须拿到一枚徽章，而拿到这枚徽章的条件就是帮助一位老人。罗素选中的帮助对象，就是脾气怪怪的老卡尔。老卡尔一开始并不想让罗素跟自己一起旅行，因此策划了很多办法想把这个讨厌的小孩从飞屋里丢下去，但此刻飞屋被卷进了暴风雨云里，卡尔和罗素一起度过了这个难关，罗素也告诉卡尔，他手中的GPS可以让卡尔更加精确的到达旅行的目的地——天堂瀑布。于是，这一老一少的旅途开始了。老不乐意的卡尔在路上还是想了不少办法踢走罗素，最后都无功而返，两人一路斗气地到了南美，在南美的丛林里，他们结识了很多平时根本见不到的动物，有长着长长大嘴的大鸟，还有会说话的小狗……他们都成为了飞屋里的旅客，随着卡尔和罗素一起旅行。眼看就要到目的地天堂瀑布了，爷孙两人却碰上了一个利欲熏心的探险家查尔斯（克里斯托弗·普卢默 配音），查尔斯认为卡尔和罗素破坏了他的好事，因此决定要拆掉他们的飞屋，让他们坠毁……究竟卡尔和罗素如何度过这场危机，顺利地到达天堂瀑布呢？
53,怦然心动,Flipped,罗伯·莱纳,剧情,2010-07-26,90分钟,暂无,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",8.9,[],布莱斯（卡兰·麦克奥利菲 饰）全家搬到小镇，邻家女孩朱丽（玛德琳·卡罗尔 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵。原来父亲一直攒钱照顾傻弟弟，所以生活拮据。她理解了父母，自己动手，还得到了他外公的鼎力相助。他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选又把两人扯在了一起……
54,少年派的奇幻漂流,Life of Pi,李安,剧情,2012-11-22,127分钟,5.73亿,"苏拉·沙玛,伊尔凡·可汗,塔布",9.0,"['第85届奥斯卡金像奖', '第70届金球奖', '第85届奥斯卡金像奖', '第70届金球奖', '第66届英国电影和电视艺术学院奖', '第40届安妮奖', '第5届北京国际电影节', '第22届MTV电影奖', '第39届土星奖', '第58届意大利大卫奖', '第57届意大利大卫奖', '第18届评论家选择奖', '第52届美国剪辑工会奖', '第65届美国导演工会奖', '第13届美国电影学会奖', '第11届华盛顿影评人协会奖', '第25届芝加哥影评人协会奖', '第11届旧金山影评人协会奖', '第12届凤凰城影评人协会奖', '第46届堪萨斯影评人协会奖', '第33届波士顿影评人协会奖', '第21届东南影评人协会奖', '第17届圣地亚哥影评人协会奖', '第17届金卫星奖']",《少年派的奇幻漂流》的故事开始于蒙特娄， 也结束于蒙特娄。一名在找寻灵感的作家，无意间得知了皮辛墨利多·帕帖尔的不可思议的故事。被大家称为派的男孩，成长于1970年代的印度朋迪榭里。他的父亲开了一家动物园，派整天与老虎、斑马、河马和其他异国动物为伍，对信仰、人和动物的本性自有一套看法。然而他试图与孟加拉国虎理查德·帕克交好的举动，却引来父亲勃然大怒。派的父亲当场以血淋淋的教训让他知道：动物与人的思考模式不同，一旦忘记这一点就会送命。这次的教训冲击了派对世界无止尽的好奇心，令他永远无法轻忽，最终甚至影响了他被迫经历的旅程。此时印度发生了全面性的改变，动摇了派的多采多姿的世界。在派17岁那一年，他的父母决定举家移民以追求更好的生活。移民能带来新世界的新冒险，却也代表派必须离开他的初恋情人。在选择移民加拿大之后，派的父母关闭动物园、收拾所有家当搭上一艘日籍货船。在船上，他们遇见一位残忍成性的法国厨师。当天深夜在茫茫大海中，原本令派感到刺激无比的暴风雨，才一瞬间就成了吞噬货船的大灾难。船沉了，然而派却奇迹似的活了下来。他搭着救生船在太平洋上漂流，而且有一名最令人意想不到的同伴－理查德·帕克。冒险的旅程开始了。而这头过去在派的面前展露本性的猛虎，则成了派的大敌。然而在学习共存的过程中，理查德·帕克逐渐成为派重返人世的最大希望。派与理查德·帕克面对许多无法想象的挑战， 包括大自然的壮阔以及无情袭击渺小救生船的狂暴。其中一场特别凶猛的暴风雨，为派带来精神上的体验，让他质疑神对他的安排。然而从头到尾，派都没有绝望。一本旧的求生手册、海上的生物光、壮观的飞鱼群在空中画出的虹弧、闪闪发亮的碧波、以及一头跃出海面的座头鲸，都能让派得到喜悦  。
