职位,公司名称,工作地点,薪资,发布时间
Google谷歌推广/外贸平台运营推广,广州市汉婷信息科技有限公司,广州-天河区,5-8千/月,03-16
Google运营SEO海外推广,广州市汉婷信息科技有限公司,广州-天河区,5-8千/月,03-16
数据爬取,湖南新星咨询集团,长沙,0.5-1万/月,03-16
架构师,广州壹零软件技术有限公司,广州-天河区,20-40万/年,03-16
Python开发工程师,成都龙捷科技有限公司,深圳-宝安区,6-8千/月,03-16
Python开发工程师,深圳神木源科技有限公司,深圳-龙岗区,6-8千/月,03-16
Python开发工程师3,深圳神木源科技有限公司,深圳-福田区,6-8千/月,03-16
Python开发工程师,深圳神木源科技有限公司,深圳-宝安区,6-8千/月,03-16
数据平台工程师,广州逸仙电子商务有限公司,广州-天河区,1.5-2万/月,03-16
人工智能工程师,深圳市诺维尔科技互联网有限公司,异地招聘,0.8-1万/月,03-16
AI算法工程师无人驾驶,深圳市诺维尔科技互联网有限公司,异地招聘,0.8-1万/月,03-16
全栈工程师月薪8至12K,深圳市诺维尔科技互联网有限公司,异地招聘,1-1.5万/月,03-16
AI算法工程师无人驾驶,深圳市诺维尔科技互联网有限公司,异地招聘,1-1.5万/月,03-16
数据研发工程师,深圳市世联土地房地产评估有限公司,深圳-福田区,1-1.5万/月,03-16
java工程师,上海蜜度信息技术有限公司,上海,0.8-1.2万/月,03-16
Java高级工程师,上海蜜度信息技术有限公司,上海-浦东新区,1.5-2万/月,03-16
大数据分析项目经理,易居企业（中国）集团有限公司,上海-静安区,1-1.5万/月,03-16
数据分析师,易居企业（中国）集团有限公司,成都-青羊区,5-7千/月,03-16
数据量化建模分析,诺贝尔曼（上海）商业投资管理有限公司,上海-黄浦区,6-8千/月,03-16
.NET Web工程师,柳州市银航科技有限公司,柳州,0.6-1万/月,03-16
Python开发工程师,赛速科技,西安-雁塔区,6-8千/月,03-16
大数据开发,赛速科技,西安-雁塔区,6-8千/月,03-16
风控经理,新城发展投资有限公司,上海-普陀区,20-30万/年,03-16
中级脚本开发工程师（python）,广州网融信息技术有限公司,广州-海珠区,1-1.5万/月,03-16
脚本实习生,广州网融信息技术有限公司,广州-天河区,2-3千/月,03-16
中级Java开发工程师（武汉）,广州网融信息技术有限公司,异地招聘,0.8-1.2万/月,03-16
python开发工程师,广州网融信息技术有限公司,广州-海珠区,1-2万/月,03-16
PCG19-腾讯视频搜索后台研发工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,03-16
PCG19-腾讯视频搜索后台工程师(深圳),深圳市腾讯计算机系统有限公司,深圳,,03-16
28603-微信支付后台策略安全工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,03-16
30359-后台开发高级工程师(北京),深圳市腾讯计算机系统有限公司,北京,,03-16
WXG03-小程序内容挖掘系统&amp;搜索前端开发（广州,深圳市腾讯计算机系统有限公司,广州,,03-16
21882-腾讯医疗搜索后台开发,深圳市腾讯计算机系统有限公司,深圳,,03-16
21882-腾讯医疗搜索后台开发,深圳市腾讯计算机系统有限公司,深圳,,03-16
CSIG14-后台开发（深圳）,深圳市腾讯计算机系统有限公司,深圳,,03-16
AI算法工程师无人驾驶核心技术,广东省尚道留学人员服务中心,深圳-龙岗区,1-1.5万/月,03-15
机器人研发算法工程师,广东省尚道留学人员服务中心,深圳-龙华新区,1-1.5万/月,03-15
Python开发工程师,“前程无忧”51job.com（上海）,上海,,03-15
数据分析助理（实习）,晤桥亚洲资产管理咨询与软件有限公司,深圳,4.5-6千/月,03-14
技术,河南牧唐信息技术有限责任公司,异地招聘,4.5-8千/月,03-14
技术,河南牧唐信息技术有限责任公司,洛阳,4.5-8千/月,03-14
Python开发工程师,邯郸市辰星网络科技有限公司,深圳-福田区,6-8千/月,03-14
Python开发工程师,广州迪奥信息科技有限公司,广州-天河区,7-9千/月,03-14
雄研院-资深系统架构师,中移系统集成（中移雄研院）,保定,1.5-2万/月,03-13
数据标注工程师（实习生）,苏州瑞翼信息技术有限公司,苏州-工业园区,3-5千/月,03-13
软件工程专业教师,电子科技大学成都学院,异地招聘,4.5-15万/年,03-13
数据运营主管,深圳市沃客非凡科技有限公司,深圳-福田区,1-2.5万/月,03-13
高级数据分析师,赛速科技,西安-雁塔区,0.7-1.2万/月,03-13
大数据应用开发工程师,博拉网络股份有限公司,重庆,1-1.5万/月,03-13
高级java工程师,博拉网络股份有限公司,重庆,0.8-1.5万/月,03-13
商务经理,南京小西网络科技有限公司,南京-雨花台区,0.6-1.2万/月,03-13
数据分析专员,广州粤达互娱科技有限公司,广州-天河区,0.7-1万/月,03-13
PHP开发工程师--情报系统研发方向,深圳市乐思软件技术有限公司,深圳,1-2万/月,03-13
PHP开发工程师（应届）,深圳市乐思软件技术有限公司,深圳,6-9千/月,03-13
SEO主管,上海为都信息科技有限公司,上海-宝山区,1-2万/月,03-12
数据分析师,无锡市车同轨科技有限公司,无锡-梁溪区,4.5-6千/月,03-11
Java资深程序员,上海鹏越惊虹信息技术发展有限公司,上海-浦东新区,0.8-1万/月,03-11
iOS开发工程师,辽宁迈克集团股份有限公司,大连-沙河口区,0.6-1万/月,03-11
PHP后台开发工程师,辽宁迈克集团股份有限公司,大连-沙河口区,6-9千/月,03-11
Java开发工程师,北京中农富通城乡规划设计研究院有限公司,西安-碑林区,0.6-1.2万/月,03-11
Java开发工程师,北京中农富通城乡规划设计研究院有限公司,厦门,0.6-1.2万/月,03-11
Java开发工程师,北京中农富通城乡规划设计研究院有限公司,北京-海淀区,1-1.5万/月,03-11
PHP高级工程师,广东优德科技有限公司,广州-海珠区,0.8-1.2万/月,03-11
PHP高级工程师,广东优德科技有限公司,异地招聘,0.8-1.2万/月,03-11
Web安全工程师,北京启明星辰信息安全技术有限公司,长沙,1-2万/月,03-11
Web安全工程师,北京启明星辰信息安全技术有限公司,武汉-江岸区,1-2万/月,03-11
Web安全工程师,北京启明星辰信息安全技术有限公司,长沙,1-2万/月,03-11
Web安全工程师,北京启明星辰信息安全技术有限公司,武汉-江岸区,1-2万/月,03-11
Java高级开发工程师,臻坤生物科技（苏州）有限公司,苏州-吴江区,1.2-2.5万/月,03-10
Java高级开发工程师,臻坤生物科技（苏州）有限公司,异地招聘,1.2-2.5万/月,03-10
PHP开发工程师,四川电科网安科技有限公司,成都-双流区,0.8-1.4万/月,03-10
Python人工智能讲师培训师,南京词酷网络信息技术有限公司,异地招聘,4-8千/月,03-09
数据工程师,万达信息股份有限公司,上海,1-2万/月,03-09
PHP软件工程师,深圳市乐思软件技术有限公司,深圳-南山区,0.9-1.1万/月,03-09
中级python,北京国研网信息有限公司,成都-高新区,0.8-1.5万/月,03-09
智慧城市大数据处理分析师（计算机方向）,深圳诺地思维数字科技有限公司,深圳-宝安区,0.6-1万/月,03-09
中级Python开发工程师,北京值得买科技股份有限公司青岛分公司,青岛-市北区,0.8-1.5万/月,03-09
Python开发工程师,北京值得买科技股份有限公司青岛分公司,青岛-市北区,0.8-1.5万/月,03-09
数据研发总监,南极电商（上海）有限公司,上海-杨浦区,2-3.5万/月,03-09
资深数据研发工程师,南极电商（上海）有限公司,上海-杨浦区,2-3.5万/月,03-09
JAVA工程师,深圳麦亚信科技股份有限公司,深圳-福田区,1-1.5万/月,03-09
Python开发讲师,河南新华电脑学院,郑州-中原区,0.8-1万/月,03-08
Python开发讲师,河南新华电脑学院,郑州-中原区,0.8-1万/月,03-08
软件工程师,北京远大创新科技有限公司,异地招聘,0.8-1万/月,03-07
Python高级开发工程师,河南蓝狐文化传播有限公司,异地招聘,1-1.5万/月,03-06
软件开发工程师,任拓数据科技（上海）有限公司,上海,1-2万/月,03-06
Python开发工程师,苏州新亚科技有限公司,异地招聘,6-8千/月,03-05
Python开发工程师,苏州新亚科技有限公司,异地招聘,6-8千/月,03-05
Python开发工程师,苏州新亚科技有限公司,异地招聘,6-8千/月,03-05
java急聘高薪AI方向,深圳麦亚信科技股份有限公司,深圳-福田区,1.2-1.5万/月,03-05
Python开发工程师,广州市华谊通用科技有限公司,广州-天河区,1-1.5万/月,03-05
广告策划,成都创人所爱科技股份有限公司 (tap4fun),成都,1.5-3万/月,03-03
风控数据分析师,宁波青年优品控股集团有限公司,宁波,1-2万/月,03-02
PHP高级开发工程师,深圳市光逸科技创新有限公司,深圳-福田区,1.8-3万/月,02-29
知识图谱算法工程师,广州安望信息科技有限公司,广州-天河区,1.5-3万/月,02-28
Python开发工程师,广州安望信息科技有限公司,广州-天河区,1-1.5万/月,02-28
NLP算法工程师(J10634),智慧芽信息科技（苏州）有限公司,上海-静安区,2-4万/月,02-27
NLP算法工程师(J10634),智慧芽信息科技（苏州）有限公司,上海-静安区,2-4万/月,02-27
自然语言处理工程师(J10616),智慧芽信息科技（苏州）有限公司,苏州-工业园区,2-3万/月,02-27
自然语言处理工程师,智慧芽信息科技（苏州）有限公司,上海-静安区,2-4万/月,02-27
电商软件开发工程师,杭州瑞合品牌管理有限公司,杭州-滨江区,1.3-1.8万/月,02-27
电商软件开发工程师,杭州瑞合品牌管理有限公司,杭州-滨江区,1.3-1.8万/月,02-27
期货分析师,广东锭海神针金属科技有限公司,异地招聘,1-2万/月,02-27
期货分析师,广东锭海神针金属科技有限公司,异地招聘,1-2万/月,02-27
跨境电商软件开发,深圳市微八进出口有限公司,深圳-龙岗区,2.5-3万/月,02-27
经营分析主管,武汉贝壳房地产经纪有限公司,武汉-江汉区,6-8千/月,02-27
运维工程师,北京思特奇信息技术股份有限公司新疆分公司,乌鲁木齐,6-8千/月,02-26
Led灯选品专员,广州琳桦科技有限责任公司,广州-增城,6-8千/月,02-25
Java开发工程师--上海驻场,南京擎盾信息科技有限公司,异地招聘,0.7-1.2万/月,02-25
软件测试工程师,南京擎盾信息科技有限公司,南京-雨花台区,6-8千/月,02-25
机器学习&amp;自然语言处理研发工程师,南京擎盾信息科技有限公司,南京-雨花台区,1.8-2.5万/月,02-25
python,上海思勃商务咨询有限公司,上海-徐汇区,0.8-1.5万/月,02-25
数据开发工程师-大数据应用二部,艾瑞咨询集团,上海-徐汇区,0.8-1.5万/月,02-25
Python开发工程师,南京擎盾信息科技有限公司,南京-雨花台区,1-1.8万/月,02-24
Java驻场开发工程师（浙江杭州驻场）,南京擎盾信息科技有限公司,异地招聘,0.8-1万/月,02-24
Java研发工程师,瀚思安信（北京）软件技术有限公司,南京-江宁区,1.5-2.5万/月,02-24
Java开发工程师,瀚思安信（北京）软件技术有限公司,南京-江宁区,1.5-2万/月,02-24
风险管理部-风控助理（系统建设方向）,财通证券资产管理有限公司上海分公司,上海,,02-21
软件工程师,上海凭安征信服务有限公司,北京-海淀区,1-2万/月,02-20
Java开发工程师,四川千百年科技有限公司,成都-高新区,1-1.5万/月,02-20
python开发-项目联合创始人方向,杭州所罗门信息科技有限公司,杭州-江干区,0.8-1.5万/月,02-15
219、前端开发,深圳市前海润杨金融服务有限公司,深圳-南山区,0.8-1.2万/月,02-13
资深商业数据分析师,MobData大数据云平台,上海-徐汇区,2.5-3万/月,02-12
Windows桌面应用开发工程师,重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月,02-12
产品运营（数据风控方向）,杭州同花顺数据开发有限公司,杭州-余杭区,6-8千/月,02-12
产品运营-风控数据方向,杭州同花顺数据开发有限公司,杭州-余杭区,6-8千/月,02-12
python开发工程师(J11143),明略科技集团,上海-长宁区,1-2万/月,02-11
python开发工程师(J11143),明略科技集团,上海-长宁区,1-2万/月,02-11
理脉-数据处理工程师,北京市金杜律师事务所,北京-朝阳区,,02-10
初级软件工程师（java）,北京中科联通科技有限责任公司,郑州-金水区,4-6千/月,02-07
Java高级开发工程师,易博国际旅行社（北京）有限公司,北京-东城区,1.8-3万/月,02-03
Java开发工程师,易博国际旅行社（北京）有限公司,北京-朝阳区,1.2-2万/月,02-03
Java高级开发工程师,易博国际旅行社（北京）有限公司,北京-朝阳区,1.8-3万/月,02-03
Java中级开发工程师,易博国际旅行社（北京）有限公司,北京-朝阳区,1.2-2万/月,02-03
Python高级开发工程师,武汉慧通远达信息技术有限公司,武汉-江汉区,0.5-1.5万/月,01-25
数据挖掘机器学习算法工程师,中国中金财富证券有限公司,深圳-福田区,1.5-2万/月,01-21
六险急招python软件工程师,北京正橹航空服务有限公司,长沙-天心区,0.7-1万/月,01-20
C#开发工程师,上海恒生聚源数据服务有限公司,上海,1.5-2万/月,01-19
基础架构开发工程师,上海嘉道信息技术有限公司,上海-长宁区,1.5-2.5万/月,01-18
爬虫工程师（180/天）,巧工匠（深圳）信息技术服务有限公司,深圳-福田区,180元/天,03-17
Java爬虫工程师（可实习）,广州比地数据科技有限公司,广州-天河区,2.5-6千/月,03-17
大数据实习生/爬虫实习生,静瞳海外投资顾问（深圳）有限公司,广州,4-5千/月,03-17
Python实习生,广州易察市场研究有限公司,广州-越秀区,3-5千/月,03-17
